2017-07-28 14:11:31,995 training config:{'CLASS_AGNOSTIC': True,
 'MXNET_VERSION': 'mxnet-aconv',
 'SCALES': [(1024, 2048)],
 'TEST': {'BATCH_IMAGES': 1, 'test_epoch': 53},
 'TRAIN': {'BATCH_IMAGES': 1,
           'CROP_HEIGHT': 768,
           'CROP_WIDTH': 1024,
           'ENABLE_CROP': True,
           'ENABLE_OHEM': False,
           'FLIP': True,
           'RESUME': False,
           'SHUFFLE': True,
           'begin_epoch': 0,
           'end_epoch': 53,
           'lr': 0.0005,
           'lr_step': '40.336',
           'model_prefix': 'deeplab_resnet_v1_101_cityscapes_segmentation_acn',
           'momentum': 0.9,
           'warmup': True,
           'warmup_lr': 5e-05,
           'warmup_step': 1000,
           'wd': 0.0005},
 'dataset': {'NUM_CLASSES': 19,
             'annotation_prefix': 'gtFine',
             'dataset': 'CityScape',
             'dataset_path': '/data/haowang/seg_dataset/',
             'image_set': 'leftImg8bit_train',
             'root_path': '/data/haowang/seg_dataset/',
             'test_image_set': 'leftImg8bit_val'},
 'default': {'frequent': 10, 'kvstore': 'device'},
 'gpus': '1,2,3,4',
 'network': {'FIXED_PARAMS': ['conv1',
                              'bn_conv1',
                              'res2',
                              'bn2',
                              'gamma',
                              'beta'],
             'FIXED_PARAMS_SHARED': ['conv1',
                                     'bn_conv1',
                                     'res2',
                                     'bn2',
                                     'res3',
                                     'bn3',
                                     'res4',
                                     'bn4',
                                     'gamma',
                                     'beta'],
             'IMAGE_STRIDE': 0,
             'PIXEL_MEANS': array([ 103.06,  115.9 ,  123.15]),
             'pretrained': './model/pretrained_model/resnet_v1_101',
             'pretrained_epoch': 0},
 'output_path': './output/cityscape',
 'symbol': 'resnet_v1_101_deeplab_acn'}

2017-07-28 14:12:51,556 Epoch[0] Batch [10]	Speed: 4.51 samples/sec	Train-FCNLogLoss=2.873084,	
2017-07-28 14:13:00,501 Epoch[0] Batch [20]	Speed: 4.47 samples/sec	Train-FCNLogLoss=2.726015,	
2017-07-28 14:13:09,752 Epoch[0] Batch [30]	Speed: 4.32 samples/sec	Train-FCNLogLoss=2.504200,	
2017-07-28 14:13:18,921 Epoch[0] Batch [40]	Speed: 4.36 samples/sec	Train-FCNLogLoss=2.284794,	
2017-07-28 14:13:27,672 Epoch[0] Batch [50]	Speed: 4.57 samples/sec	Train-FCNLogLoss=2.069555,	
2017-07-28 14:13:36,624 Epoch[0] Batch [60]	Speed: 4.47 samples/sec	Train-FCNLogLoss=1.904307,	
2017-07-28 14:13:45,631 Epoch[0] Batch [70]	Speed: 4.44 samples/sec	Train-FCNLogLoss=1.764982,	
2017-07-28 14:13:54,248 Epoch[0] Batch [80]	Speed: 4.64 samples/sec	Train-FCNLogLoss=1.650363,	
2017-07-28 14:14:02,866 Epoch[0] Batch [90]	Speed: 4.64 samples/sec	Train-FCNLogLoss=1.551918,	
2017-07-28 14:14:12,274 Epoch[0] Batch [100]	Speed: 4.25 samples/sec	Train-FCNLogLoss=1.464746,	
2017-07-28 14:14:21,748 Epoch[0] Batch [110]	Speed: 4.22 samples/sec	Train-FCNLogLoss=1.387864,	
2017-07-28 14:14:31,550 Epoch[0] Batch [120]	Speed: 4.08 samples/sec	Train-FCNLogLoss=1.323726,	
2017-07-28 14:14:40,938 Epoch[0] Batch [130]	Speed: 4.26 samples/sec	Train-FCNLogLoss=1.265135,	
2017-07-28 14:14:50,639 Epoch[0] Batch [140]	Speed: 4.12 samples/sec	Train-FCNLogLoss=1.217100,	
2017-07-28 14:15:00,218 Epoch[0] Batch [150]	Speed: 4.18 samples/sec	Train-FCNLogLoss=1.177512,	
2017-07-28 14:15:09,889 Epoch[0] Batch [160]	Speed: 4.14 samples/sec	Train-FCNLogLoss=1.133157,	
2017-07-28 14:15:19,891 Epoch[0] Batch [170]	Speed: 4.00 samples/sec	Train-FCNLogLoss=1.098263,	
2017-07-28 14:15:29,859 Epoch[0] Batch [180]	Speed: 4.01 samples/sec	Train-FCNLogLoss=1.062631,	
2017-07-28 14:15:39,694 Epoch[0] Batch [190]	Speed: 4.07 samples/sec	Train-FCNLogLoss=1.034720,	
2017-07-28 14:15:49,482 Epoch[0] Batch [200]	Speed: 4.09 samples/sec	Train-FCNLogLoss=1.012221,	
2017-07-28 14:15:59,163 Epoch[0] Batch [210]	Speed: 4.13 samples/sec	Train-FCNLogLoss=0.984552,	
2017-07-28 14:16:09,131 Epoch[0] Batch [220]	Speed: 4.01 samples/sec	Train-FCNLogLoss=0.961312,	
2017-07-28 14:16:18,842 Epoch[0] Batch [230]	Speed: 4.12 samples/sec	Train-FCNLogLoss=0.944658,	
2017-07-28 14:16:28,471 Epoch[0] Batch [240]	Speed: 4.15 samples/sec	Train-FCNLogLoss=0.931936,	
2017-07-28 14:16:37,716 Epoch[0] Batch [250]	Speed: 4.33 samples/sec	Train-FCNLogLoss=0.917089,	
2017-07-28 14:16:47,061 Epoch[0] Batch [260]	Speed: 4.28 samples/sec	Train-FCNLogLoss=0.902317,	
2017-07-28 14:16:56,470 Epoch[0] Batch [270]	Speed: 4.25 samples/sec	Train-FCNLogLoss=0.888226,	
2017-07-28 14:17:05,674 Epoch[0] Batch [280]	Speed: 4.35 samples/sec	Train-FCNLogLoss=0.872182,	
2017-07-28 14:17:14,518 Epoch[0] Batch [290]	Speed: 4.52 samples/sec	Train-FCNLogLoss=0.855497,	
2017-07-28 14:17:23,344 Epoch[0] Batch [300]	Speed: 4.53 samples/sec	Train-FCNLogLoss=0.845618,	
2017-07-28 14:17:32,467 Epoch[0] Batch [310]	Speed: 4.38 samples/sec	Train-FCNLogLoss=0.830015,	
2017-07-28 14:17:41,682 Epoch[0] Batch [320]	Speed: 4.34 samples/sec	Train-FCNLogLoss=0.817616,	
2017-07-28 14:17:50,744 Epoch[0] Batch [330]	Speed: 4.41 samples/sec	Train-FCNLogLoss=0.807586,	
2017-07-28 14:17:59,851 Epoch[0] Batch [340]	Speed: 4.39 samples/sec	Train-FCNLogLoss=0.797700,	
2017-07-28 14:18:09,221 Epoch[0] Batch [350]	Speed: 4.27 samples/sec	Train-FCNLogLoss=0.788579,	
2017-07-28 14:18:18,455 Epoch[0] Batch [360]	Speed: 4.33 samples/sec	Train-FCNLogLoss=0.778225,	
2017-07-28 14:18:27,276 Epoch[0] Batch [370]	Speed: 4.54 samples/sec	Train-FCNLogLoss=0.768435,	
2017-07-28 14:18:36,181 Epoch[0] Batch [380]	Speed: 4.49 samples/sec	Train-FCNLogLoss=0.762909,	
2017-07-28 14:18:45,160 Epoch[0] Batch [390]	Speed: 4.46 samples/sec	Train-FCNLogLoss=0.753634,	
2017-07-28 14:18:54,593 Epoch[0] Batch [400]	Speed: 4.24 samples/sec	Train-FCNLogLoss=0.745452,	
2017-07-28 14:19:03,491 Epoch[0] Batch [410]	Speed: 4.50 samples/sec	Train-FCNLogLoss=0.737719,	
2017-07-28 14:19:12,814 Epoch[0] Batch [420]	Speed: 4.29 samples/sec	Train-FCNLogLoss=0.729445,	
2017-07-28 14:19:21,810 Epoch[0] Batch [430]	Speed: 4.45 samples/sec	Train-FCNLogLoss=0.721824,	
2017-07-28 14:19:30,616 Epoch[0] Batch [440]	Speed: 4.54 samples/sec	Train-FCNLogLoss=0.715112,	
2017-07-28 14:19:39,840 Epoch[0] Batch [450]	Speed: 4.34 samples/sec	Train-FCNLogLoss=0.708683,	
2017-07-28 14:19:49,791 Epoch[0] Batch [460]	Speed: 4.02 samples/sec	Train-FCNLogLoss=0.701710,	
2017-07-28 14:19:59,604 Epoch[0] Batch [470]	Speed: 4.08 samples/sec	Train-FCNLogLoss=0.695366,	
2017-07-28 14:20:09,196 Epoch[0] Batch [480]	Speed: 4.17 samples/sec	Train-FCNLogLoss=0.689868,	
2017-07-28 14:20:18,676 Epoch[0] Batch [490]	Speed: 4.22 samples/sec	Train-FCNLogLoss=0.684383,	
2017-07-28 14:20:28,140 Epoch[0] Batch [500]	Speed: 4.23 samples/sec	Train-FCNLogLoss=0.677751,	
2017-07-28 14:20:37,482 Epoch[0] Batch [510]	Speed: 4.28 samples/sec	Train-FCNLogLoss=0.670917,	
2017-07-28 14:20:47,117 Epoch[0] Batch [520]	Speed: 4.15 samples/sec	Train-FCNLogLoss=0.663840,	
2017-07-28 14:20:57,090 Epoch[0] Batch [530]	Speed: 4.01 samples/sec	Train-FCNLogLoss=0.658820,	
2017-07-28 14:21:07,065 Epoch[0] Batch [540]	Speed: 4.01 samples/sec	Train-FCNLogLoss=0.653392,	
2017-07-28 14:21:16,517 Epoch[0] Batch [550]	Speed: 4.23 samples/sec	Train-FCNLogLoss=0.647182,	
2017-07-28 14:21:25,798 Epoch[0] Batch [560]	Speed: 4.31 samples/sec	Train-FCNLogLoss=0.641740,	
2017-07-28 14:21:35,449 Epoch[0] Batch [570]	Speed: 4.14 samples/sec	Train-FCNLogLoss=0.637371,	
2017-07-28 14:21:45,144 Epoch[0] Batch [580]	Speed: 4.13 samples/sec	Train-FCNLogLoss=0.631728,	
2017-07-28 14:21:54,813 Epoch[0] Batch [590]	Speed: 4.14 samples/sec	Train-FCNLogLoss=0.628479,	
2017-07-28 14:22:04,607 Epoch[0] Batch [600]	Speed: 4.08 samples/sec	Train-FCNLogLoss=0.624583,	
2017-07-28 14:22:14,314 Epoch[0] Batch [610]	Speed: 4.12 samples/sec	Train-FCNLogLoss=0.620113,	
2017-07-28 14:22:23,959 Epoch[0] Batch [620]	Speed: 4.15 samples/sec	Train-FCNLogLoss=0.616444,	
2017-07-28 14:22:33,510 Epoch[0] Batch [630]	Speed: 4.19 samples/sec	Train-FCNLogLoss=0.612563,	
