2017-06-05 11:40:45,840 training config:{'CLASS_AGNOSTIC': True,
 'MXNET_VERSION': 'mxnet',
 'SCALES': [(1024, 2048)],
 'TEST': {'BATCH_IMAGES': 1, 'test_epoch': 53},
 'TRAIN': {'BATCH_IMAGES': 1,
           'CROP_HEIGHT': 768,
           'CROP_WIDTH': 1024,
           'ENABLE_CROP': True,
           'ENABLE_OHEM': False,
           'FLIP': True,
           'RESUME': False,
           'SHUFFLE': True,
           'begin_epoch': 0,
           'end_epoch': 53,
           'lr': 0.0005,
           'lr_step': '40.336',
           'model_prefix': 'deeplab_resnet_v1_101_cityscapes_segmentation_dcn',
           'momentum': 0.9,
           'warmup': True,
           'warmup_lr': 5e-05,
           'warmup_step': 1000,
           'wd': 0.0005},
 'dataset': {'NUM_CLASSES': 19,
             'annotation_prefix': 'gtFine',
             'dataset': 'CityScape',
             'dataset_path': '/data/haowang/seg_dataset',
             'image_set': 'leftImg8bit_train',
             'root_path': '/data/haowang/seg_dataset',
             'test_image_set': 'leftImg8bit_val'},
 'default': {'frequent': 10, 'kvstore': 'device'},
 'gpus': '4,5,6,7',
 'network': {'FIXED_PARAMS': ['conv1',
                              'bn_conv1',
                              'res2',
                              'bn2',
                              'gamma',
                              'beta'],
             'FIXED_PARAMS_SHARED': ['conv1',
                                     'bn_conv1',
                                     'res2',
                                     'bn2',
                                     'res3',
                                     'bn3',
                                     'res4',
                                     'bn4',
                                     'gamma',
                                     'beta'],
             'IMAGE_STRIDE': 0,
             'PIXEL_MEANS': array([ 103.06,  115.9 ,  123.15]),
             'pretrained': './model/pretrained_model/resnet_v1_101',
             'pretrained_epoch': 0},
 'output_path': './output/cityscape',
 'symbol': 'resnet_v1_101_deeplab_dcn'}

2017-06-05 13:00:45,639 Epoch[0] Batch [10]	Speed: 5.86 samples/sec	Train-FCNLogLoss=2.895658,	
2017-06-05 13:00:53,211 Epoch[0] Batch [20]	Speed: 5.28 samples/sec	Train-FCNLogLoss=2.788252,	
2017-06-05 13:01:00,324 Epoch[0] Batch [30]	Speed: 5.62 samples/sec	Train-FCNLogLoss=2.567515,	
2017-06-05 13:01:08,363 Epoch[0] Batch [40]	Speed: 4.98 samples/sec	Train-FCNLogLoss=2.326786,	
2017-06-05 13:01:15,419 Epoch[0] Batch [50]	Speed: 5.67 samples/sec	Train-FCNLogLoss=2.113632,	
2017-06-05 13:01:22,924 Epoch[0] Batch [60]	Speed: 5.33 samples/sec	Train-FCNLogLoss=1.945665,	
2017-06-05 13:01:30,004 Epoch[0] Batch [70]	Speed: 5.65 samples/sec	Train-FCNLogLoss=1.791560,	
2017-06-05 13:01:37,409 Epoch[0] Batch [80]	Speed: 5.40 samples/sec	Train-FCNLogLoss=1.664375,	
2017-06-05 13:01:44,683 Epoch[0] Batch [90]	Speed: 5.50 samples/sec	Train-FCNLogLoss=1.560001,	
2017-06-05 13:01:51,760 Epoch[0] Batch [100]	Speed: 5.65 samples/sec	Train-FCNLogLoss=1.475365,	
2017-06-05 13:01:59,170 Epoch[0] Batch [110]	Speed: 5.40 samples/sec	Train-FCNLogLoss=1.411600,	
2017-06-05 13:02:06,642 Epoch[0] Batch [120]	Speed: 5.35 samples/sec	Train-FCNLogLoss=1.358430,	
2017-06-05 13:02:14,947 Epoch[0] Batch [130]	Speed: 4.82 samples/sec	Train-FCNLogLoss=1.309057,	
2017-06-05 13:02:22,853 Epoch[0] Batch [140]	Speed: 5.06 samples/sec	Train-FCNLogLoss=1.254889,	
2017-06-05 13:02:30,797 Epoch[0] Batch [150]	Speed: 5.04 samples/sec	Train-FCNLogLoss=1.213783,	
2017-06-05 13:02:38,423 Epoch[0] Batch [160]	Speed: 5.25 samples/sec	Train-FCNLogLoss=1.173889,	
2017-06-05 13:02:45,868 Epoch[0] Batch [170]	Speed: 5.37 samples/sec	Train-FCNLogLoss=1.135923,	
2017-06-05 13:02:53,496 Epoch[0] Batch [180]	Speed: 5.24 samples/sec	Train-FCNLogLoss=1.097375,	
2017-06-05 13:03:00,892 Epoch[0] Batch [190]	Speed: 5.41 samples/sec	Train-FCNLogLoss=1.060857,	
2017-06-05 13:03:08,953 Epoch[0] Batch [200]	Speed: 4.96 samples/sec	Train-FCNLogLoss=1.030466,	
2017-06-05 13:03:16,139 Epoch[0] Batch [210]	Speed: 5.57 samples/sec	Train-FCNLogLoss=1.004879,	
2017-06-05 13:03:24,013 Epoch[0] Batch [220]	Speed: 5.08 samples/sec	Train-FCNLogLoss=0.980433,	
2017-06-05 13:03:31,234 Epoch[0] Batch [230]	Speed: 5.54 samples/sec	Train-FCNLogLoss=0.963055,	
2017-06-05 13:03:38,532 Epoch[0] Batch [240]	Speed: 5.48 samples/sec	Train-FCNLogLoss=0.946108,	
2017-06-05 13:03:45,976 Epoch[0] Batch [250]	Speed: 5.37 samples/sec	Train-FCNLogLoss=0.928268,	
2017-06-05 13:03:52,949 Epoch[0] Batch [260]	Speed: 5.74 samples/sec	Train-FCNLogLoss=0.908877,	
2017-06-05 13:04:00,719 Epoch[0] Batch [270]	Speed: 5.15 samples/sec	Train-FCNLogLoss=0.890231,	
2017-06-05 13:04:07,960 Epoch[0] Batch [280]	Speed: 5.52 samples/sec	Train-FCNLogLoss=0.875057,	
2017-06-05 13:04:15,949 Epoch[0] Batch [290]	Speed: 5.01 samples/sec	Train-FCNLogLoss=0.864063,	
2017-06-05 13:04:23,601 Epoch[0] Batch [300]	Speed: 5.23 samples/sec	Train-FCNLogLoss=0.850615,	
2017-06-05 13:04:31,336 Epoch[0] Batch [310]	Speed: 5.17 samples/sec	Train-FCNLogLoss=0.838264,	
2017-06-05 13:04:38,600 Epoch[0] Batch [320]	Speed: 5.51 samples/sec	Train-FCNLogLoss=0.825777,	
2017-06-05 13:04:46,322 Epoch[0] Batch [330]	Speed: 5.18 samples/sec	Train-FCNLogLoss=0.813351,	
2017-06-05 13:04:53,939 Epoch[0] Batch [340]	Speed: 5.25 samples/sec	Train-FCNLogLoss=0.802191,	
2017-06-05 13:05:01,227 Epoch[0] Batch [350]	Speed: 5.49 samples/sec	Train-FCNLogLoss=0.790741,	
2017-06-05 13:05:08,255 Epoch[0] Batch [360]	Speed: 5.69 samples/sec	Train-FCNLogLoss=0.780747,	
2017-06-05 13:05:15,584 Epoch[0] Batch [370]	Speed: 5.46 samples/sec	Train-FCNLogLoss=0.771095,	
2017-06-05 13:05:22,768 Epoch[0] Batch [380]	Speed: 5.57 samples/sec	Train-FCNLogLoss=0.762587,	
2017-06-05 13:05:30,684 Epoch[0] Batch [390]	Speed: 5.05 samples/sec	Train-FCNLogLoss=0.753240,	
2017-06-05 13:05:38,364 Epoch[0] Batch [400]	Speed: 5.21 samples/sec	Train-FCNLogLoss=0.742580,	
2017-06-05 13:05:45,542 Epoch[0] Batch [410]	Speed: 5.57 samples/sec	Train-FCNLogLoss=0.733676,	
2017-06-05 13:05:53,163 Epoch[0] Batch [420]	Speed: 5.25 samples/sec	Train-FCNLogLoss=0.725401,	
2017-06-05 13:06:00,628 Epoch[0] Batch [430]	Speed: 5.36 samples/sec	Train-FCNLogLoss=0.717434,	
2017-06-05 13:06:07,948 Epoch[0] Batch [440]	Speed: 5.46 samples/sec	Train-FCNLogLoss=0.709045,	
2017-06-05 13:06:15,348 Epoch[0] Batch [450]	Speed: 5.41 samples/sec	Train-FCNLogLoss=0.701758,	
2017-06-05 13:06:23,681 Epoch[0] Batch [460]	Speed: 4.80 samples/sec	Train-FCNLogLoss=0.695254,	
2017-06-05 13:06:31,560 Epoch[0] Batch [470]	Speed: 5.08 samples/sec	Train-FCNLogLoss=0.688764,	
2017-06-05 13:06:39,066 Epoch[0] Batch [480]	Speed: 5.33 samples/sec	Train-FCNLogLoss=0.682984,	
2017-06-05 13:06:46,967 Epoch[0] Batch [490]	Speed: 5.06 samples/sec	Train-FCNLogLoss=0.677284,	
2017-06-05 13:06:55,214 Epoch[0] Batch [500]	Speed: 4.85 samples/sec	Train-FCNLogLoss=0.670987,	
2017-06-05 13:07:03,090 Epoch[0] Batch [510]	Speed: 5.08 samples/sec	Train-FCNLogLoss=0.664710,	
2017-06-05 13:07:11,206 Epoch[0] Batch [520]	Speed: 4.93 samples/sec	Train-FCNLogLoss=0.659551,	
2017-06-05 13:07:18,651 Epoch[0] Batch [530]	Speed: 5.37 samples/sec	Train-FCNLogLoss=0.654680,	
2017-06-05 13:07:26,595 Epoch[0] Batch [540]	Speed: 5.04 samples/sec	Train-FCNLogLoss=0.649897,	
2017-06-05 13:07:34,940 Epoch[0] Batch [550]	Speed: 4.79 samples/sec	Train-FCNLogLoss=0.644313,	
2017-06-05 13:07:42,765 Epoch[0] Batch [560]	Speed: 5.11 samples/sec	Train-FCNLogLoss=0.638870,	
2017-06-05 13:07:50,504 Epoch[0] Batch [570]	Speed: 5.17 samples/sec	Train-FCNLogLoss=0.633892,	
2017-06-05 13:07:58,657 Epoch[0] Batch [580]	Speed: 4.91 samples/sec	Train-FCNLogLoss=0.629217,	
2017-06-05 13:08:06,883 Epoch[0] Batch [590]	Speed: 4.86 samples/sec	Train-FCNLogLoss=0.624174,	
2017-06-05 13:08:14,484 Epoch[0] Batch [600]	Speed: 5.26 samples/sec	Train-FCNLogLoss=0.620275,	
2017-06-05 13:08:22,391 Epoch[0] Batch [610]	Speed: 5.06 samples/sec	Train-FCNLogLoss=0.616248,	
2017-06-05 13:08:31,119 Epoch[0] Batch [620]	Speed: 4.58 samples/sec	Train-FCNLogLoss=0.611736,	
2017-06-05 13:08:39,120 Epoch[0] Batch [630]	Speed: 5.00 samples/sec	Train-FCNLogLoss=0.607460,	
2017-06-05 13:08:46,764 Epoch[0] Batch [640]	Speed: 5.23 samples/sec	Train-FCNLogLoss=0.603570,	
2017-06-05 13:08:54,604 Epoch[0] Batch [650]	Speed: 5.10 samples/sec	Train-FCNLogLoss=0.599399,	
2017-06-05 13:09:02,446 Epoch[0] Batch [660]	Speed: 5.10 samples/sec	Train-FCNLogLoss=0.597197,	
2017-06-05 13:09:10,038 Epoch[0] Batch [670]	Speed: 5.27 samples/sec	Train-FCNLogLoss=0.593187,	
2017-06-05 13:09:17,650 Epoch[0] Batch [680]	Speed: 5.26 samples/sec	Train-FCNLogLoss=0.589589,	
2017-06-05 13:09:25,359 Epoch[0] Batch [690]	Speed: 5.19 samples/sec	Train-FCNLogLoss=0.586307,	
2017-06-05 13:09:33,417 Epoch[0] Batch [700]	Speed: 4.96 samples/sec	Train-FCNLogLoss=0.582698,	
2017-06-05 13:09:41,798 Epoch[0] Batch [710]	Speed: 4.77 samples/sec	Train-FCNLogLoss=0.579926,	
2017-06-05 13:09:49,503 Epoch[0] Batch [720]	Speed: 5.19 samples/sec	Train-FCNLogLoss=0.576936,	
2017-06-05 13:09:57,039 Epoch[0] Batch [730]	Speed: 5.31 samples/sec	Train-FCNLogLoss=0.573960,	
2017-06-05 13:10:04,577 Epoch[0] Batch [740]	Speed: 5.31 samples/sec	Train-FCNLogLoss=0.571191,	
2017-06-05 13:10:12,525 Epoch[0] Batch [750]	Speed: 5.03 samples/sec	Train-FCNLogLoss=0.568453,	
2017-06-05 13:10:20,334 Epoch[0] Batch [760]	Speed: 5.12 samples/sec	Train-FCNLogLoss=0.565473,	
2017-06-05 13:10:28,112 Epoch[0] Batch [770]	Speed: 5.14 samples/sec	Train-FCNLogLoss=0.562547,	
2017-06-05 13:10:35,790 Epoch[0] Batch [780]	Speed: 5.21 samples/sec	Train-FCNLogLoss=0.559202,	
2017-06-05 13:10:43,653 Epoch[0] Batch [790]	Speed: 5.09 samples/sec	Train-FCNLogLoss=0.556281,	
2017-06-05 13:10:52,059 Epoch[0] Batch [800]	Speed: 4.76 samples/sec	Train-FCNLogLoss=0.554072,	
2017-06-05 13:11:00,189 Epoch[0] Batch [810]	Speed: 4.92 samples/sec	Train-FCNLogLoss=0.551332,	
2017-06-05 13:11:07,734 Epoch[0] Batch [820]	Speed: 5.30 samples/sec	Train-FCNLogLoss=0.548298,	
2017-06-05 13:11:15,648 Epoch[0] Batch [830]	Speed: 5.05 samples/sec	Train-FCNLogLoss=0.545290,	
2017-06-05 13:11:23,959 Epoch[0] Batch [840]	Speed: 4.81 samples/sec	Train-FCNLogLoss=0.542531,	
2017-06-05 13:11:31,493 Epoch[0] Batch [850]	Speed: 5.31 samples/sec	Train-FCNLogLoss=0.541153,	
2017-06-05 13:11:38,804 Epoch[0] Batch [860]	Speed: 5.47 samples/sec	Train-FCNLogLoss=0.538740,	
2017-06-05 13:11:46,557 Epoch[0] Batch [870]	Speed: 5.16 samples/sec	Train-FCNLogLoss=0.536255,	
2017-06-05 13:11:53,359 Epoch[0] Batch [880]	Speed: 5.88 samples/sec	Train-FCNLogLoss=0.533529,	
2017-06-05 13:12:01,493 Epoch[0] Batch [890]	Speed: 4.92 samples/sec	Train-FCNLogLoss=0.531100,	
2017-06-05 13:12:08,758 Epoch[0] Batch [900]	Speed: 5.51 samples/sec	Train-FCNLogLoss=0.528786,	
2017-06-05 13:12:15,540 Epoch[0] Batch [910]	Speed: 5.90 samples/sec	Train-FCNLogLoss=0.526728,	
2017-06-05 13:12:20,386 Epoch[0] Batch [920]	Speed: 8.25 samples/sec	Train-FCNLogLoss=0.524700,	
2017-06-05 13:12:25,359 Epoch[0] Batch [930]	Speed: 8.04 samples/sec	Train-FCNLogLoss=0.522354,	
2017-06-05 13:12:29,956 Epoch[0] Batch [940]	Speed: 8.70 samples/sec	Train-FCNLogLoss=0.520273,	
2017-06-05 13:12:34,661 Epoch[0] Batch [950]	Speed: 8.50 samples/sec	Train-FCNLogLoss=0.517728,	
2017-06-05 13:12:39,277 Epoch[0] Batch [960]	Speed: 8.67 samples/sec	Train-FCNLogLoss=0.515414,	
2017-06-05 13:12:44,152 Epoch[0] Batch [970]	Speed: 8.21 samples/sec	Train-FCNLogLoss=0.513363,	
2017-06-05 13:12:48,695 Epoch[0] Batch [980]	Speed: 8.81 samples/sec	Train-FCNLogLoss=0.511296,	
2017-06-05 13:12:53,429 Epoch[0] Batch [990]	Speed: 8.45 samples/sec	Train-FCNLogLoss=0.509252,	
2017-06-05 13:12:58,185 Epoch[0] Batch [1000]	Speed: 8.41 samples/sec	Train-FCNLogLoss=0.507886,	
2017-06-05 13:13:03,081 Epoch[0] Batch [1010]	Speed: 8.17 samples/sec	Train-FCNLogLoss=0.506780,	
2017-06-05 13:13:08,010 Epoch[0] Batch [1020]	Speed: 8.12 samples/sec	Train-FCNLogLoss=0.510771,	
2017-06-05 13:13:12,782 Epoch[0] Batch [1030]	Speed: 8.38 samples/sec	Train-FCNLogLoss=0.511413,	
2017-06-05 13:13:17,193 Epoch[0] Batch [1040]	Speed: 9.07 samples/sec	Train-FCNLogLoss=0.511935,	
2017-06-05 13:13:21,847 Epoch[0] Batch [1050]	Speed: 8.60 samples/sec	Train-FCNLogLoss=0.512566,	
2017-06-05 13:13:26,196 Epoch[0] Batch [1060]	Speed: 9.20 samples/sec	Train-FCNLogLoss=0.512664,	
2017-06-05 13:13:30,915 Epoch[0] Batch [1070]	Speed: 8.48 samples/sec	Train-FCNLogLoss=0.512105,	
2017-06-05 13:13:35,745 Epoch[0] Batch [1080]	Speed: 8.28 samples/sec	Train-FCNLogLoss=0.510744,	
